Dataset,Arch,Strategy,Accuracy,Δacc (pp),Rescue,Extra,McNemar p,Tokens/sample
MentalManip,gpt-4.1-mini,zero_shot,,0.0,0.2083333333333333,0.0952380952380952,1.0,
MentalManip,gpt-4.1-mini,few_shot,,0.0130718954248365,0.1509433962264151,0.06,0.79052734375,
MentalManip,gpt-4.1-mini,cot,,0.0065359477124182,0.072463768115942,0.0476190476190476,1.0,
MMLU,gpt-4.1-mini,zero_shot,,0.0057142857142856,0.0923076923076923,0.0454545454545454,1.0,
MMLU,gpt-4.1-mini,few_shot,,-0.0057142857142856,0.1923076923076923,0.089430894308943,1.0,
MMLU,gpt-4.1-mini,cot,,-0.0342857142857142,0.196078431372549,0.1290322580645161,0.326939582824707,
MMLU (Normative),gpt-4.1-mini,zero_shot,,0.0370370370370369,0.1333333333333333,0.0317460317460317,0.2890625,
MMLU (Normative),gpt-4.1-mini,few_shot,,-0.0185185185185186,0.1724137931034483,0.0886075949367088,0.7744140625,
MMLU (Normative),gpt-4.1-mini,cot,,-0.0648148148148147,0.1707317073170731,0.208955223880597,0.1892471313476562,
MMLU (Control),gpt-4.1-mini,zero_shot,,-0.044776119402985,0.0,0.0638297872340425,0.25,
MMLU (Control),gpt-4.1-mini,few_shot,,-0.0149253731343284,0.1739130434782608,0.1136363636363636,1.0,
MMLU (Control),gpt-4.1-mini,cot,,0.0149253731343282,0.3,0.0350877192982456,1.0,
