lambda_tok,lambda_extra,ensemble,accuracy,improvement,rescue_rate,extra_error_rate,n_profiles,tokens_per_sample_sum,cost_per_sample_sum,baseline_accuracy,pareto,score,utility
0.0001,0.5,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5627586367880486,0.5627586367880486
0.0001,1.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5508538748832866,0.5508538748832866
0.0001,2.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5270443510737628,0.5270443510737628
0.0001,3.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5032348272642391,0.5032348272642391
0.0005,0.5,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5607586367880486,0.5607586367880486
0.0005,1.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5488538748832866,0.5488538748832866
0.0005,2.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5250443510737628,0.5250443510737628
0.0005,3.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5012348272642391,0.5012348272642391
0.001,0.5,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5582586367880485,0.5582586367880485
0.001,1.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5463538748832866,0.5463538748832866
0.001,2.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5225443510737627,0.5225443510737627
0.001,3.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.498734827264239,0.498734827264239
0.002,0.5,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5532586367880485,0.5532586367880485
0.002,1.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5413538748832866,0.5413538748832866
0.002,2.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.5175443510737627,0.5175443510737627
0.002,3.0,man_black,0.5751633986928104,0.02614379084967311,0.08695652173913043,0.023809523809523808,5,5.0,,0.5490196078431373,True,0.493734827264239,0.493734827264239
