lambda_tok,lambda_extra,ensemble,accuracy,improvement,rescue_rate,extra_error_rate,n_profiles,tokens_per_sample_sum,cost_per_sample_sum,baseline_accuracy,pareto,score,utility
0.0001,0.5,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6657745098039216,0.6657745098039216
0.0001,1.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6457745098039216,0.6457745098039216
0.0001,2.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6057745098039217,0.6057745098039217
0.0001,3.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.5657745098039216,0.5657745098039216
0.0005,0.5,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6637745098039216,0.6637745098039216
0.0005,1.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6437745098039216,0.6437745098039216
0.0005,2.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6037745098039217,0.6037745098039217
0.0005,3.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.5637745098039216,0.5637745098039216
0.001,0.5,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6612745098039216,0.6612745098039216
0.001,1.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6412745098039215,0.6412745098039215
0.001,2.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6012745098039216,0.6012745098039216
0.001,3.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.5612745098039216,0.5612745098039216
0.002,0.5,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6562745098039215,0.6562745098039215
0.002,1.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.6362745098039215,0.6362745098039215
0.002,2.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.5962745098039216,0.5962745098039216
0.002,3.0,woman_asian,0.6862745098039216,0.0326797385620915,0.16981132075471697,0.04,5,5.0,,0.6535947712418301,True,0.5562745098039216,0.5562745098039216
