lambda_tok,lambda_extra,ensemble,accuracy,improvement,rescue_rate,extra_error_rate,n_profiles,tokens_per_sample_sum,cost_per_sample_sum,baseline_accuracy,pareto,score,utility
0.0001,0.5,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6589771241830066,0.6589771241830066
0.0001,1.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6256437908496733,0.6256437908496733
0.0001,2.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.5589771241830066,0.5589771241830066
0.0001,3.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.49231045751633984,0.49231045751633984
0.0005,0.5,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6569771241830066,0.6569771241830066
0.0005,1.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6236437908496733,0.6236437908496733
0.0005,2.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.5569771241830066,0.5569771241830066
0.0005,3.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.49031045751633984,0.49031045751633984
0.001,0.5,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6544771241830065,0.6544771241830065
0.001,1.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6211437908496732,0.6211437908496732
0.001,2.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.5544771241830065,0.5544771241830065
0.001,3.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.48781045751633983,0.48781045751633983
0.002,0.5,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6494771241830065,0.6494771241830065
0.002,1.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.6161437908496732,0.6161437908496732
0.002,2.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.5494771241830065,0.5494771241830065
0.002,3.0,man_asian,0.6928104575163399,0.006535947712418277,0.16666666666666666,0.06666666666666667,5,5.0,,0.6862745098039216,True,0.48281045751633983,0.48281045751633983
