factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,white,asian,-0.03601569659758725,0.9646251520314547,0.021442934793161724,2.8210786120627995,499.0,0.09365980392464487,0.7658245497611331
ethnicity,asian,latine,0.03438277017494315,1.0349806906587504,0.020994255808145398,2.682135777569924,499.0,0.10210993996815108,0.7658245497611331
ethnicity,asian,middle_eastern,0.027847243443276305,1.0282386022356957,0.020757536754575968,1.7997525260450378,499.0,0.18035261521816803,0.8947796834520607
ethnicity,asian,black,0.02621239491730929,1.026558961225905,0.023740829813878265,1.2190502708251254,499.0,0.2700792428797953,0.8947796834520607
ethnicity,asian,indian,0.01966906370664403,1.019863774236277,0.01995614818950652,0.9714354177945148,499.0,0.32480009967320944,0.8947796834520607
ethnicity,white,indian,-0.016346632890943222,0.983786248274042,0.019891280030476757,0.675353501640121,499.0,0.4115838117976358,0.8947796834520607
ethnicity,indian,latine,0.014713706468299122,1.0148224859087613,0.020224848210715827,0.5292655588737066,499.0,0.4672569909351528,0.8947796834520607
ethnicity,white,black,-0.009803301680277958,0.9902445940417908,0.022664052238454423,0.18709820029518937,499.0,0.665529686862077,0.8947796834520607
ethnicity,indian,middle_eastern,0.008178179736632277,1.0082117123982466,0.020506825217653214,0.15904368965165458,499.0,0.690209098039757,0.8947796834520607
ethnicity,white,middle_eastern,-0.008168453154310945,0.9918648180062184,0.021515776995768145,0.14413371376240608,499.0,0.7043671568233612,0.8947796834520607
ethnicity,black,latine,0.008170375257633858,1.0082038438618162,0.02212713782335361,0.13634321343459999,499.0,0.7121003920403473,0.8947796834520607
ethnicity,black,indian,-0.006543331210665264,0.993478029764961,0.020840018087006144,0.09858290801244639,499.0,0.7536680893148655,0.8947796834520607
ethnicity,latine,middle_eastern,-0.006535526731666845,0.9934857833736361,0.022901586789853965,0.08143855172582813,499.0,0.7754757256584527,0.8947796834520607
ethnicity,white,latine,-0.0016329264226441,0.9983684060763172,0.019956516811840415,0.006695202983515196,499.0,0.9348193050779944,0.9430049770774471
ethnicity,black,middle_eastern,0.0016348485259670125,1.0016361856193676,0.022855572784256036,0.005116474581058552,499.0,0.9430049770774471,0.9430049770774471
