factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,asian,indian,-0.0403862210448892,0.9604184337008836,0.025366976356728493,2.5347143740976934,419.0,0.1121211458110222,0.8403755924254096
ethnicity,white,asian,0.03430324230018163,1.0348983841168786,0.029609544697121067,1.342168009579625,419.0,0.2473118716630411,0.8403755924254096
ethnicity,indian,middle_eastern,0.030325774019067005,1.030790283954853,0.027503507840736557,1.215759334795426,419.0,0.270827399688947,0.8403755924254096
ethnicity,asian,latine,-0.02822930695297212,0.9721654169507026,0.02672881367306853,1.1154267747081792,419.0,0.29151388478759804,0.8403755924254096
ethnicity,white,middle_eastern,0.02424279527435943,1.0245390409325452,0.03146011724066153,0.5938061817237495,419.0,0.44138533349904696,0.8403755924254096
ethnicity,asian,black,-0.022164283056994784,0.9780795399550227,0.028866126272781734,0.5895631919720578,419.0,0.44302056906312115,0.8403755924254096
ethnicity,latine,middle_eastern,0.018168859927149922,1.0183349178324148,0.02670604346285366,0.4628457183482788,419.0,0.4966727547702978,0.8403755924254096
ethnicity,black,indian,-0.01822193798789442,0.9819430777020943,0.03186507468841779,0.32700865483567204,419.0,0.5677324788657997,0.8403755924254096
ethnicity,indian,latine,0.012156914091917081,1.0122311097305297,0.026621932814120012,0.2085295131550495,419.0,0.6481590363444154,0.8403755924254096
ethnicity,white,black,0.012138959243186843,1.0122129354372331,0.02718861913517963,0.19933731511837957,419.0,0.6554869335866624,0.8403755924254096
ethnicity,asian,middle_eastern,-0.010060447025822199,0.989989989990009,0.026193388198274672,0.14752010006667696,419.0,0.7011114313439728,0.8403755924254096
ethnicity,black,middle_eastern,0.012103836031172585,1.012177383892044,0.032437330307082554,0.1392373846010237,419.0,0.7092290377587234,0.8403755924254096
ethnicity,black,latine,-0.006065023895977337,0.9939533312346026,0.02615684608180481,0.05376433506431839,419.0,0.8167511173143175,0.8403755924254096
ethnicity,white,latine,0.006073935347209507,1.0060924190965936,0.029459568308815007,0.04250965424439354,419.0,0.8367514733280818,0.8403755924254096
ethnicity,white,indian,-0.006082978744707574,0.9939354851131081,0.030182762846714867,0.04061763336648516,419.0,0.8403755924254096,0.8403755924254096
