factor,level_i,level_j,logit_diff,OR_ratio,se,stat,df2,p,q
ethnicity,white,middle_eastern,0.05065945954610684,1.0519645957783432,0.02368152611380653,4.576165598444639,499.0,0.032904309712464656,0.35863789432425414
ethnicity,white,latine,0.041676442324153795,1.0425570968212656,0.02353496424648361,3.1358421375046186,499.0,0.07719923576553413,0.35863789432425414
ethnicity,white,indian,0.038075720594725124,1.038809889203125,0.02177166680415862,3.058531122427273,499.0,0.08092909430795173,0.35863789432425414
ethnicity,white,black,0.03627373388581225,1.0369396531660136,0.021726730452547957,2.787377386038085,499.0,0.0956367718198011,0.35863789432425414
ethnicity,asian,middle_eastern,0.032466144478938,1.0329989198352687,0.02527752521036605,1.6496519684074566,499.0,0.19960226607916623,0.5988067982374987
ethnicity,asian,latine,0.023483127256984957,1.023761026944185,0.022228123614936878,1.1161080911735861,499.0,0.29126922243362957,0.7281730560840739
ethnicity,asian,indian,0.019882405527556286,1.0200813770420192,0.021164891280645956,0.8824818280647052,499.0,0.3479773188858757,0.7456656833268764
ethnicity,asian,black,0.018080418818643414,1.0182448591459545,0.024416711517763902,0.5483307841778501,499.0,0.45934881411455997,0.8031647183671855
ethnicity,white,asian,0.018193315067168838,1.0183598216599288,0.026498828178230516,0.47137912170703467,499.0,0.4926723011069716,0.8031647183671855
ethnicity,black,middle_eastern,0.014385725660294585,1.0144896981868279,0.023197228765677876,0.38458411056856934,499.0,0.5354431455781237,0.8031647183671855
ethnicity,indian,middle_eastern,0.012583738951381714,1.0126632473486645,0.023542899805232862,0.28569292923712053,499.0,0.5932319777710511,0.8089526969605243
ethnicity,latine,middle_eastern,0.008983017221953042,1.0090234856064582,0.02637215237958429,0.11602546341121793,499.0,0.7335291821658633,0.9169114777073291
ethnicity,black,latine,0.005402708438341543,1.0054173293866242,0.022737704664721886,0.0564585629490233,499.0,0.8122810374176115,0.9288836508697937
ethnicity,indian,latine,0.0036007217294286714,1.0036072121156019,0.02148274879296445,0.028093084078699905,499.0,0.8669580741451408,0.9288836508697937
ethnicity,black,indian,0.0018019867089128713,1.0018036112626238,0.024404850751154727,0.005451937326056941,499.0,0.9411694868397965,0.9411694868397965
